book_slug,count
45047384-the-house-in-the-cerulean-sea,18
54985743-people-we-meet-on-vacation,18
38819868-my-sister-the-serial-killer,18
17235026-the-girl-with-all-the-gifts,18
34273236-little-fires-everywhere,18
35965482-middlegame,18
6294.Howl_s_Moving_Castle,17
14497.Neverwhere,17
13623848-the-song-of-achilles,17
23093367-saga-volume-4,17
28243032-we-are-okay,17
48855.The_Diary_of_a_Young_Girl,17
7235533-the-way-of-kings,17
43449920-heartstopper,17
18045891-sharp-objects,17
7624.Lord_of_the_Flies,17
9460487-miss-peregrine-s-home-for-peculiar-children,17
4981.Slaughterhouse_Five,17
18705209-the-blood-of-olympus,17
42201431-the-unhoneymooners,17
7736182-the-lost-hero,17
12127810-the-house-of-hades,17
61718053-happy-place,17
764347.Unwind,17
18692431-everything-everything,17
25614492-salt-to-the-sea,17
10964.Outlander,17
6068551-shiver,17
30226723-king-s-cage,17
20170404-station-eleven,17
50196744-know-my-name,17
30653843-radio-silence,17
52516332-clap-when-you-land,17
53152636-mexican-gothic,17
25489025-the-vegetarian,17
13638131-the-unbound,17
11.The_Hitchhiker_s_Guide_to_the_Galaxy,16
6547258-the-final-empire,16
968.The_Da_Vinci_Code,16
20443235-the-winner-s-kiss,16
23308084-the-rose-the-dagger,16
439288.Speak,16
5297.The_Picture_of_Dorian_Gray,16
4374400-if-i-stay,16
7735333-matched,16
8492825-where-she-went,16
17399160-snow-like-ashes,16
33590260-kingdom-of-ash,16
36307634-king-of-scars,16
6514.The_Bell_Jar,16
17332218-words-of-radiance,16
10572.A_Clash_of_Kings,16
17699853-chain-of-gold,16
20698530-p-s-i-still-love-you,16
49976087-take-a-hint-dani-brown,16
25489625-between-the-world-and-me,16
28257707-the-subtle-art-of-not-giving-a-f-ck,16
6186357-the-maze-runner,16
25111004-november-9,16
1953.A_Tale_of_Two_Cities,16
6304335-beautiful-creatures,16
53137893-the-wife-upstairs,16
27188596-war-storm,16
2213661.The_Graveyard_Book,16
1232.The_Shadow_of_the_Wind,16
7604.Lolita,16
44107480-lovely-war,16
32768520-mirage,16
34523174-into-the-drowning-deep,16
42505366-wilder-girls,16
41957126-verity,16
6482837-before-i-fall,16
20821111-the-young-elites,16
9565548-grave-mercy,15
60510.Poison_Study,15
15783514-the-ocean-at-the-end-of-the-lane,15
25526296-every-heart-a-doorway,15
12812550-days-of-blood-starlight,15
11387515-wonder,15
944073.The_Blade_Itself,15
21787.The_Princess_Bride,15
30312891-lord-of-shadows,15
53138095-a-court-of-silver-flames,15
58784475-tomorrow-and-tomorrow-and-tomorrow,15
13643567-the-evolution-of-mara-dyer,15
54493401-project-hail-mary,15
50202953-piranesi,15
24920901-the-deal,15
438492.The_Wide_Window,15
8475505-rebel-belle,15
51737.The_Truth_About_Forever,15
28763485-the-sun-is-also-a-star,15
14935.Sense_and_Sensibility,15
6969.Emma,15
6185.Wuthering_Heights,15
1617.Night,15
6131164-clockwork-princess,15
13047090-onyx,15
13455782-shatter-me,15
44778083-house-of-earth-and-blood,15
39796904-my-lovely-wife,15
5129.Brave_New_World,15
18405.Gone_with_the_Wind,15
37004370-the-memory-police,15
25574782-pretty-girls,15
9464733-beauty-queens,15
33585392-dear-ijeawele-or-a-feminist-manifesto-in-fifteen-suggestions,15
34323570-furyborn,15
42080142-the-turn-of-the-key,15
60556912-the-housemaid,15
36809135-where-the-crawdads-sing,15
1934.Little_Women,15
22738563-we-should-all-be-feminists,15
9627755-isla-and-the-happily-ever-after,15
1217100.Thirteen_Reasons_Why,14
15931.The_Notebook,14
40874032-vicious,14
18166936-the-strange-and-beautiful-sorrows-of-ava-lavender,14
26073150-a-court-of-mist-and-fury,14
34275232-the-hazel-wood,14
960.Angels_Demons,14
25489134-the-bear-and-the-nightingale,14
28449207-strange-the-dreamer,14
5326.A_Christmas_Carol,14
1381.The_Odyssey,14
18490.Frankenstein,14
25451555-saga-volume-5,14
42270835-the-nickel-boys,14
34.The_Fellowship_of_the_Ring,14
18144590-the-alchemist,14
18635016-the-one,14
23766634-a-court-of-wings-and-ruin,14
9961796-lola-and-the-boy-next-door,14
8909152-attachments,14
16150830-never-fade,14
33413128-beartown,14
17250.The_Crucible,14
12291438-the-madman-s-daughter,14
54589790-rule-of-wolves,14
22822858-a-little-life,14
11614718-delirium,14
5060378-the-girl-who-played-with-fire,14
34381254-an-unkindness-of-ghosts,14
60717747-half-a-soul,14
44279110-my-year-of-rest-and-relaxation,14
54860610-somebody-s-daughter,14
195820807-just-for-the-summer,14
61918816-yours-truly,14
24909347-obsidio,14
51738.Just_Listen,14
34810320-sadie,14
8306857-divergent,13
20443207-the-winner-s-crime,13
21569527-the-heart-of-betrayal,13
12232938-the-lovely-bones,13
231804.The_Outsiders,13
12954620-falling-kingdoms,13
23719270-vengeance-road,13
8130423-the-battle-of-the-labyrinth,13
865.The_Alchemist,13
13618440-dreams-of-gods-monsters,13
41118857-the-dragon-republic,13
1622.A_Midsummer_Night_s_Dream,13
62291.A_Storm_of_Swords,13
248704.It_s_Kind_of_a_Funny_Story,13
44280883-all-boys-aren-t-blue,13
57945316-babel,13
6487308-fallen,13
25733573-reasons-to-stay-alive,13
17331518-fracture-me,13
78418.The_Reptile_Room,13
24770.Uglies,13
27071490-homegoing,13
7937843-room,13
7824322-between-shades-of-gray,13
22557272-the-girl-on-the-train,13
29772863-wires-and-nerve,13
37534835-vengeful,13
4381.Fahrenheit_451,13
4406.East_of_Eden,13
4137.Me_Talk_Pretty_One_Day,13
60931.Kindred,13
10917.My_Sister_s_Keeper,13
168642.In_Cold_Blood,13
6567017-will-grayson-will-grayson,13
18806240-bone-gap,13
37570546-maybe-you-should-talk-to-someone,13
53260224-white-tears-brown-scars,13
38348476-calypso,13
38664775-sea-prayer,13
42201962-the-deep,13
35606560-the-sun-and-her-flowers,13
51182650-girl-serpent-thorn,13
43521657-the-ten-thousand-doors-of-january,13
60784546-divine-rivals,13
30119.Where_the_Sidewalk_Ends,13
26856502-vengeful,13
